fishID,year,month,day,tl,wt
1092,1988,6,1,71,6
1097,1988,6,1,74,6
1132,1988,6,1,75,6
1102,1988,6,1,76,6
1091,1988,6,1,76,6
1086,1988,6,1,76,6
1115,1988,6,1,77,6
1124,1988,6,1,78,6
1112,1988,6,1,78,7
1126,1988,6,1,78,7
1090,1988,6,1,78,8
1089,1988,6,1,79,6
1096,1988,6,1,79,7
1110,1988,6,1,79,7
1107,1988,6,1,79,7
1119,1988,6,1,79,8
1094,1988,6,1,80,7
1082,1988,6,1,80,7
1109,1988,6,1,80,7
1081,1988,6,1,81,6
1137,1988,6,1,81,7
1085,1988,6,1,81,8
1087,1988,6,1,81,8
1095,1988,6,1,81,9
1093,1988,6,1,81,9
1125,1988,6,1,82,8
1121,1988,6,1,82,8
1106,1988,6,1,83,8
1104,1988,6,1,83,8
1133,1988,6,1,83,8
1123,1988,6,1,83,8
1120,1988,6,1,84,9
1088,1988,6,1,85,8
1105,1988,6,1,85,9
1134,1988,6,1,85,9
1108,1988,6,1,86,8
1100,1988,6,1,86,9
1121,1988,6,1,87,8
1101,1988,6,1,87,10
1098,1988,6,1,88,8
1084,1988,6,1,88,9
1136,1988,6,1,88,9
1080,1988,6,1,88,10
1099,1988,6,1,89,9
1138,1988,6,1,90,9
1135,1988,6,1,90,9
1103,1988,6,1,90,10
1118,1988,6,1,91,8
1083,1988,6,1,91,11
1117,1988,6,1,94,11
1079,1988,6,1,95,12
1078,1988,6,1,121,24
1077,1988,6,1,129,28
1074,1988,6,1,131,31
1076,1988,6,1,138,41
1075,1988,6,1,143,34
1131,1988,6,6,81,7
1130,1988,6,6,85,9
1129,1988,6,6,95,11
1128,1988,6,6,110,16
1127,1988,6,6,125,27
1248,1988,6,13,77,6
1237,1988,6,13,80,7
1247,1988,6,13,83,6
1219,1988,6,13,85,7
1217,1988,6,13,85,9
1240,1988,6,13,86,8
1246,1988,6,13,89,9
1239,1988,6,13,97,12
1245,1988,6,13,100,14
1244,1988,6,13,118,21
1238,1988,6,13,142,38
1251,1988,7,NA,78,6
1359,1988,7,NA,81,7
1250,1988,7,NA,82,7
1358,1988,7,NA,85,8
1357,1988,7,NA,85,8
1258,1988,7,NA,87,8
1301,1988,7,NA,89,10
1263,1988,7,NA,89,11
1249,1988,7,NA,90,9
3063,1988,7,NA,92,11
1355,1988,7,NA,93,10
1299,1988,7,NA,94,12
1256,1988,7,NA,95,11
1287,1988,7,NA,95,12
1254,1988,7,NA,97,10
1262,1988,7,NA,97,13
1298,1988,7,NA,98,13
1327,1988,7,NA,98,13
1339,1988,7,NA,98,14
1303,1988,7,NA,98,15
1300,1988,7,NA,99,13
1426,1988,7,NA,100,13
1338,1988,7,NA,100,13
1306,1988,7,NA,101,16
1356,1988,7,NA,102,14
1354,1988,7,NA,102,15
1425,1988,7,NA,103,15
1337,1988,7,NA,105,15
1302,1988,7,NA,105,18
1352,1988,7,NA,106,15
1315,1988,7,NA,106,17
1353,1988,7,NA,106,18
3069,1988,7,NA,107,17
1326,1988,7,NA,108,16
1407,1988,7,NA,109,18
1406,1988,7,NA,109,18
1286,1988,7,NA,109,19
3062,1988,7,NA,110,19
1424,1988,7,NA,110,20
1423,1988,7,NA,111,21
1422,1988,7,NA,111,21
1405,1988,7,NA,115,24
1421,1988,7,NA,115,24
1404,1988,7,NA,117,27
1420,1988,7,NA,118,24
1403,1988,7,NA,121,29
1411,1988,7,NA,123,26
1398,1988,7,NA,124,25
1399,1988,7,NA,127,31
1369,1988,7,NA,130,31
1410,1988,7,NA,134,32
1305,1988,7,NA,136,34
3068,1988,7,NA,160,48
1622,1988,8,NA,72,5.09
3863,1988,8,NA,72,5.22
1580,1988,8,NA,72,5.22
1598,1988,8,NA,72,5.57
3882,1988,8,NA,72,5.57
1594,1988,8,NA,72,5.7
3878,1988,8,NA,72,5.7
1624,1988,8,NA,73,5.06
3864,1988,8,NA,73,5.11
1581,1988,8,NA,73,5.11
1511,1988,8,NA,73,5.2
1541,1988,8,NA,73,5.26
1599,1988,8,NA,73,5.29
3883,1988,8,NA,73,5.29
1561,1988,8,NA,73,6.11
1591,1988,8,NA,74,5.04
1598,1988,8,NA,74,5.41
1510,1988,8,NA,74,5.81
1597,1988,8,NA,74,5.93
3881,1988,8,NA,74,5.93
1613,1988,8,NA,74,6.13
1594,1988,8,NA,75,5.07
