"Island","Quadrat","Pct.hard.corals","Pct.soft.corals","Pct.macroalgae","Pct.sponge"
"Kilika",1,22.6703897623953,28.5752094473106,48.170543078046,0.583857712248128
"Kilika",2,28.4941642311887,18.004322357756,6.59193237259911,46.9095810384561
"Kilika",3,11.5094376934226,33.1932555107735,30.2091271461827,25.0881796496212
"Kilika",4,5.8297705508738,14.0979834193062,47.1694858438607,32.9027601859593
"Kilika",5,27.7448178249989,6.83623241864366,27.8770061832289,37.5419435731285
"Johto",1,18.7593722817245,46.6522692842545,25.2863604628405,9.30199797118058
"Johto",2,2.90932331957255,21.4155457463192,43.0549316785432,32.620199255565
"Johto",3,40.2693829500258,21.5368599709045,32.17474492901,6.01901215005966
"Johto",4,6.47230579581384,0.500302894334653,40.052588327944,52.9748029819076
"Johto",5,0.730659925645952,46.755528042292,24.6727171633221,27.8410948687399
"Johto",6,35.709941844802,17.2107715948858,17.7710189789483,29.3082675813639
"Johto",7,69.8953905333265,18.7983389907025,2.07823527271373,9.22803520325725
"Johto",8,9.39716528092083,34.1298086774696,48.8217392099277,7.65128683168188
"Johto",9,11.2565235054282,16.8434805031645,17.293674316696,54.6063216747113
"Johto",10,24.627553703227,26.714411669463,25.0783739640685,23.5796606632414
"Johto",11,0.544504937943039,30.5316209123429,19.8818842328567,49.0419899168573
"Johto",12,27.9967697372612,17.8289185410132,28.2862926595511,25.8880190621744
"Johto",13,21.8335792410946,32.6232517136859,20.2836607984079,25.2595082468115
"Oxbay",1,46.1391321377304,1.75971946263636,4.34621604645411,47.7549323531791
"Oxbay",2,47.0077707880118,27.022375002353,10.0928151197474,15.8770390898878
"Oxbay",3,46.7643693409222,44.7680430428207,1.44171608477565,7.02587153148146
"Oxbay",4,14.5791602520637,30.0279225297946,25.7128450344788,29.6800721836628
"Oxbay",5,32.2168413882645,40.683819503945,6.9844636106673,20.1148754971232
"Oxbay",6,42.6303709324861,7.43921156074466,37.870933353242,12.0594841535273
"Oxbay",7,1.07081394968324,22.2175523717168,39.015188432081,37.6964452465189
"Oxbay",8,17.1271581722607,23.3090482375963,37.5523211925942,22.0114723975488
"Sula",1,44.1082633838357,49.955705991697,0.753020170780776,5.18301045368657
"Sula",2,31.4786439122716,15.2914711221598,30.1556913642458,23.0741936013228
"Sula",3,7.11876876010437,23.0737852279873,39.3459188697104,30.4615271421979
"Sula",4,27.2241180404522,40.756698629775,26.1918368376018,5.82734649217096
"Sula",5,6.43196414302684,12.7983071661368,48.3876169511869,32.3821117396495
"Sula",6,37.5381083573365,12.8115687313177,27.8144960720522,21.8358268392936
"Sula",7,10.6159110543506,40.3657206666457,19.1149017638702,29.9034665151335
"Sula",8,30.8284647207767,2.50148609313861,27.2954803091058,39.3745688769788
"Sula",9,29.41610865873,26.9868615616865,18.2224747204675,25.374555059116
"Sula",10,4.74855916645996,49.1759161776318,44.0588226245878,2.01670203132041
"Sula",11,21.0312725850058,24.5314145140228,25.7780648262729,28.6592480746985
"Sula",12,19.6071536349021,3.76722245378794,3.91066758960301,72.7149563217069
"Sula",13,22.9539324713731,38.495954584706,10.5181029981421,28.0320099457787
"Sula",14,20.4551982370972,52.8002907728028,19.4613569443631,7.28315404573699
"Sula",15,22.1917750823647,33.0558617301151,43.4247522214682,1.32761096605199
"Sula",16,31.4247969500893,13.6034536950793,38.3707593957363,16.6009899590951
"Sula",17,57.1787482813624,31.3803825017558,4.72961699036605,6.71125222651571
"Vanutu",1,0.107283723248048,38.6850075010282,31.2998106894152,29.9078980863085
"Vanutu",2,24.9850205252838,17.2494520600548,5.29082656981204,52.4747008448493
"Vanutu",3,39.0337586134103,31.8505341566329,16.164051242027,12.9516559879298
"Vanutu",4,12.1941707022928,32.3037993656851,45.2098748616454,10.2921550703767
"Vanutu",5,26.673787100953,33.2035466296758,9.71785863991243,30.4048076294588
"Vanutu",6,40.3833071077377,29.6588421546334,26.8948131662625,3.06303757136638
"Vanutu",7,58.4879282050889,4.86580578063854,15.2642618707899,21.3820041434826
"Vanutu",8,41.5336756742882,0.854840386400252,10.9114386548352,46.7000452844763
"Vanutu",9,21.0252384244107,18.9935151806702,42.0205911920425,17.9606552028765
"Vanutu",10,31.4228786994731,16.3305525835372,21.8662586819132,30.3803100350764
"Vanutu",11,35.4720773271257,8.59526911716426,2.01558172606781,53.9170718296422
